Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 28 10:42:26 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,
,,,,,,,,,
Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
999,1/1/2019,,17.2,59.5,-2.7,0.8,-5,-3.1,56
999,1/2/2019,,17.2,59.5,-0.2,0.1,-3.2,-1.4,55
999,1/3/2019,,17.8,60,1.2,2.4,-0.8,0.8,59
999,1/4/2019,,18.1,63.3,3.2,4.4,1.2,2.7,57
999,1/5/2019,,17.7,64.3,1.5,3.3,1,1.9,55
999,1/6/2019,,17.4,64.3,1.8,6.3,1,3.4,53
999,1/7/2019,,18.2,65.2,-1.5,2.3,-1.6,-0.6,62
999,1/8/2019,,18.5,65.9,-5.5,0.2,-6.1,-2.8,63
999,1/9/2019,,19.2,66.6,2.7,2.7,-6.1,-1.2,65
999,1/10/2019,,19.5,68.4,2,3.9,1.6,2.6,62
999,1/11/2019,,18.9,69.2,3.7,4.2,1.5,3.3,59
999,1/12/2019,,18.2,69.2,6.6,10.4,3.4,6.5,58
999,1/13/2019,,18,69.2,6.6,11.7,6,7.4,58
999,1/14/2019,,18.1,69.2,8.2,13.7,5.9,8.2,58
999,1/15/2019,,18.2,69.2,8.2,15.6,7.3,10.2,57
999,1/16/2019,,18.4,69.2,4.5,11.3,3.1,6.2,57
999,1/17/2019,,18.5,69.2,5.3,7.6,2.7,4.7,57
999,1/18/2019,,19.2,70,1.3,5.9,1.2,3,56
999,1/19/2019,,19.9,71.1,1.5,2.3,0.7,1.5,58
999,1/20/2019,,19.9,72.2,0.3,3.2,0.3,1.8,56
