Washington (PST) SNOTEL Site Marten Ridge - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 28 11:01:28 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.,,,,,,,,,
,,,,,,,,,
Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) 
999,1/1/2018,,24.7,61.9,0.3,4.2,-3.7,-0.5,76
999,1/2/2018,,25,61.9,6.2,7.3,-0.3,3.1,76
999,1/3/2018,,25.1,61.9,7.1,9.6,5.4,7.6,75
999,1/4/2018,,25.3,61.9,8.3,12.2,6.2,8.3,74
999,1/5/2018,,25.3,61.9,5.8,9.1,5.4,7.3,71
999,1/6/2018,,25,63.9,2.9,6.5,2.8,5.4,68
999,1/7/2018,,23.5,64.3,0.9,3.5,0.5,1.5,66
999,1/8/2018,,24.3,64.9,1.1,1.2,0.5,0.8,72
999,1/9/2018,,25,65.8,1.3,3.2,1,1.9,70
999,1/10/2018,,25.8,66.6,-0.2,1.3,-0.2,0.8,71
999,1/11/2018,,26.5,67,-1,-0.1,-1.4,-0.7,72
999,1/12/2018,,28.6,68.7,1.3,1.9,-1,0.8,79
999,1/13/2018,,28.8,69.9,1.1,3.6,1.1,2.4,73
999,1/14/2018,,28.6,70.3,8.4,8.5,0.7,4.3,75
999,1/15/2018,,28.2,70.3,9.9,15.6,7.5,11.1,74
999,1/16/2018,,28,70.3,5.7,12.9,5.7,10.3,71
999,1/17/2018,,28,71.1,1.5,5.7,1.1,2.8,70
999,1/18/2018,,28.2,72.1,3.1,5.8,1.2,3.3,69
999,1/19/2018,,28.1,73.3,-0.3,3,-0.3,0.6,74
999,1/20/2018,,29.9,74.4,-0.1,1.2,-0.4,0,87
999,1/21/2018,,31.7,75.8,0.5,0.8,-0.9,-0.2,93
999,1/22/2018,,33.6,76.7,-0.4,1.3,-0.4,0.5,99
