date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
1-Oct,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,,,,,
2-Oct,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,,,,,
3-Oct,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,,,,,
4-Oct,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
5-Oct,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
6-Oct,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
7-Oct,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
8-Oct,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
9-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
10-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
11-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
12-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
13-Oct,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.3,0,,,,,
14-Oct,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.5,0,,,,,
15-Oct,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,,,,,
16-Oct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
17-Oct,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
18-Oct,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,,,,,
19-Oct,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,,,,,
20-Oct,0,0.6,0,0,0,0,0.3,0,0,0,0,0,0,0.1,0,0.1,0,,,,,
21-Oct,0,0.8,0,0,0,0,0.9,0,0,0,0,0,0,0.4,0,0,0,,,,,
22-Oct,0,0.9,0,0,0,0,1.2,0,0,0,0,0.6,0,0.1,0,0.1,0.1,,,,,
23-Oct,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0.1,,,,,
24-Oct,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,1.1,0,0.3,,,,,
25-Oct,0,0,0,0,0.5,0.1,1.7,0,0,0,0,0,0,0.1,1.1,0,1.5,,,,,
26-Oct,0,0,0,0,2.1,0.1,1.7,0,0,0,0,0,0,0,1.2,0.2,2.2,,,,,
27-Oct,0,0,0,0.5,2.2,0.4,2.4,0,0,0,0,0,0,0,1.3,0.1,2.7,,,,,
28-Oct,0,0,0,0.6,2.1,0.2,1.9,0,0,0,0,0,0,0,0.5,0.1,3,,,,,
29-Oct,0,0,0,0.7,1.9,0.6,1.4,0,0,0,0,0,0,0,0,0.1,2.6,,,,,
30-Oct,0,0,0,0.9,1.7,0.5,0.3,0,0,0,0,0,0,0,0,0,2.4,,,,,
31-Oct,0,0,0,0,1.5,0.1,0,0,0,0,0,0,0,0,0,0,2.2,,,,,
1-Nov,0,0,0,0,1.6,0.3,0,0,0,0,0,0,0,0,0,0.1,1.9,,,,,
2-Nov,0,0,0,0,0.8,0.8,0,0,0,0.4,0,0,0,0,0,0.1,1.8,,,,,
3-Nov,0,0.4,0,0,0.6,1,0,0.7,0,0,0,1,0,0,0,0,1.7,,,,,
4-Nov,0,0,0,0,0.3,1.1,0,0.8,0,0,0,1.3,0,0,0,0.1,3.2,,,,,
5-Nov,0,0,0.8,0,0,1,0,0.8,0,0,0,1.4,0,0,0,0,4.8,,,,,
6-Nov,0,0,0.7,0,0,0.9,0,1.1,0,0,0,1.5,0,0,0,0,4.7,,,,,
7-Nov,0,0,0.6,0.9,0,0.9,0,1,0,0,0,1.5,0,0,0,0.8,5.4,,,,,
8-Nov,0,0,0,2.1,0.2,1.7,0.4,1.1,0,0,0,1.6,0,0,0,2,5.8,,,,,
9-Nov,0,0,0,2.6,0.7,1.9,1.2,1,0,0,0,1.7,0,0,0,2.1,5.9,,,,,
10-Nov,0,0,0,3.2,0.9,2.2,2,0.9,0,0,0,1.8,0.3,0,1.1,3.2,5.9,,,,,
11-Nov,3.2,0,0.1,5.1,0.9,2.1,2.7,0.8,0,0.3,0,1.7,0.4,0,1,3.5,5.9,,,,,
12-Nov,5.2,1.1,0.8,6,1.3,3.5,3.1,0.3,0,0.4,0,1.8,0.4,0,0.9,3.8,6,,,,,
13-Nov,8.9,2.2,0,6,2.1,5,3.1,0,0,2.4,0,1.8,0.5,0,2.4,2.9,6,,,,,
